sex,age,traveltime,studytime,failures,absences
F,18,2,2,0,6
F,17,1,2,0,4
F,15,1,2,3,10
F,15,1,3,0,2
F,16,1,2,0,4
M,16,1,2,0,10
M,16,1,2,0,0
F,17,2,2,0,6
M,15,1,2,0,0
M,15,1,2,0,0
F,15,1,2,0,0
F,15,3,3,0,4
M,15,1,1,0,2
M,15,2,2,0,2
M,15,1,3,0,0
F,16,1,1,0,4
F,16,1,3,0,6
F,16,3,2,0,4
M,17,1,1,3,16
M,16,1,1,0,4
M,15,1,2,0,0
M,15,1,1,0,0
M,16,1,2,0,2
M,16,2,2,0,0
F,15,1,3,0,2
F,16,1,1,2,14
M,15,1,1,0,2
M,15,1,1,0,4
M,16,1,2,0,4
M,16,1,2,0,16
M,15,1,2,0,0
M,15,2,2,0,0
M,15,1,2,0,0
M,15,1,2,0,0
M,16,1,1,0,0
F,15,2,1,0,0
M,15,1,3,0,2
M,16,2,3,0,7
F,15,1,3,0,2
F,15,1,1,0,8
F,16,2,2,1,25
M,15,1,1,0,8
M,15,1,2,0,2
M,15,1,1,0,0
F,16,2,2,1,14
F,15,1,2,0,8
F,16,1,2,0,12
M,16,1,4,0,4
M,15,1,2,0,2
F,15,1,2,1,2
F,16,3,2,0,2
F,15,1,2,0,2
M,15,2,1,1,6
F,15,1,1,0,0
F,15,1,1,0,6
F,16,1,2,0,8
F,15,1,2,0,0
M,15,1,2,0,4
M,15,1,2,0,2
F,16,1,2,0,2
F,16,1,2,0,6
F,16,4,1,0,6
F,16,1,2,0,4
F,16,1,3,0,2
F,15,1,2,0,0
F,16,3,2,0,2
M,15,1,4,0,4
F,16,1,4,0,4
F,15,2,2,0,2
F,15,2,4,0,12
M,16,2,4,0,0
M,15,1,4,0,0
F,15,1,2,2,2
M,16,1,1,0,2
F,16,1,2,0,54
M,15,1,2,0,6
M,15,2,4,0,8
F,16,1,4,0,0
M,17,2,1,3,2
F,16,1,2,0,12
M,15,1,1,0,2
M,15,1,3,0,4
F,15,1,2,0,10
M,15,2,2,0,4
F,15,1,2,0,2
F,15,2,2,2,6
F,16,1,2,0,4
F,15,1,3,0,4
M,16,2,2,1,12
M,16,1,2,0,18
F,16,1,3,0,0
F,15,1,1,0,4
F,16,1,2,0,4
F,16,2,2,0,0
M,15,1,4,0,6
F,15,2,4,1,2
M,16,2,1,0,2
F,16,1,2,0,2
F,16,1,1,0,6
F,16,1,3,0,0
M,16,1,1,0,14
M,16,1,3,0,0
M,15,1,1,0,4
F,15,2,2,0,26
M,15,1,2,0,0
F,15,1,4,0,10
F,15,1,4,0,8
M,16,1,3,0,2
M,15,4,4,0,6
F,16,1,3,0,4
M,15,1,1,0,6
F,16,1,3,1,0
F,16,1,2,1,6
M,15,1,1,0,10
M,15,1,2,0,8
M,16,1,2,0,2
M,15,2,2,0,2
M,16,2,1,0,0
M,17,3,2,1,20
M,15,1,1,0,6
F,15,1,2,0,2
M,15,1,4,0,6
F,16,2,2,0,2
M,16,1,1,0,18
F,16,1,2,0,0
M,15,1,1,0,0
F,15,1,2,0,0
F,19,1,2,3,2
M,18,1,1,2,0
M,16,1,1,0,8
F,15,2,3,2,0
F,15,3,1,0,0
F,17,1,1,0,12
F,16,1,1,0,16
M,15,4,2,0,0
F,15,1,3,0,0
M,17,3,2,0,0
F,16,2,1,2,0
M,16,1,2,1,0
F,15,2,1,0,0
M,15,2,4,0,0
M,16,2,1,2,8
F,15,1,3,0,2
F,16,1,1,0,2
M,17,1,1,3,0
F,15,1,2,0,0
F,15,1,2,3,0
F,15,1,2,0,2
M,16,1,1,0,0
M,15,4,1,3,0
M,18,1,1,3,0
M,16,1,1,1,6
F,15,2,3,2,8
M,19,1,1,3,0
F,17,1,1,0,0
M,15,1,2,0,2
M,17,1,1,0,8
F,18,3,1,3,6
M,16,3,1,0,2
M,16,1,2,1,4
M,17,2,1,2,0
M,15,2,2,2,6
M,16,2,1,1,0
M,17,1,1,0,2
M,17,4,2,3,0
M,16,2,1,1,16
M,16,1,2,0,4
F,16,1,2,0,0
F,16,1,2,0,0
F,16,1,2,0,0
M,16,3,1,2,0
M,16,2,2,0,2
M,17,1,2,0,0
F,16,1,2,3,0
F,16,2,2,0,4
M,17,2,2,0,4
F,16,2,2,0,2
M,17,1,2,0,4
M,16,1,1,0,10
M,17,1,2,0,4
M,16,1,2,0,10
M,16,1,2,0,2
F,17,1,2,0,0
F,17,1,2,0,56
F,16,1,2,0,14
M,17,1,2,0,12
M,16,1,1,0,2
M,16,1,2,0,0
F,17,1,2,0,6
M,17,1,2,0,4
F,16,1,2,0,10
F,17,1,2,0,0
M,17,2,2,0,12
M,16,1,1,0,8
M,16,2,1,0,0
F,17,1,2,0,0
M,17,1,1,0,4
M,16,3,1,0,8
F,17,2,1,1,24
F,16,1,2,0,0
F,16,1,2,0,2
F,16,1,2,0,6
F,17,1,2,0,4
F,17,1,1,0,18
F,16,2,4,0,6
F,17,1,3,1,28
F,16,1,2,3,5
F,16,1,2,0,10
F,16,2,1,0,6
F,17,2,3,0,6
F,19,1,4,0,10
M,17,1,2,0,13
F,16,1,2,0,0
M,18,1,2,1,15
F,17,1,1,0,12
F,17,2,2,0,2
F,17,1,2,2,22
M,18,1,2,1,13
F,17,2,1,0,3
F,17,1,3,0,4
F,17,2,2,0,2
F,17,1,3,1,0
F,16,1,2,0,2
M,18,2,2,0,0
F,16,1,3,0,0
F,18,1,2,1,16
F,17,1,2,0,10
M,17,1,2,0,2
M,18,4,2,0,14
F,17,2,3,0,10
F,17,1,2,0,14
M,17,2,2,0,4
M,17,1,2,0,14
M,16,1,2,0,2
M,16,2,2,0,18
M,16,2,3,0,10
M,17,1,2,0,4
F,16,1,1,0,20
F,17,3,2,0,2
M,18,1,2,1,0
M,17,2,2,0,14
M,17,2,2,0,2
M,16,1,1,0,0
M,16,1,1,0,0
F,18,2,3,0,0
M,16,3,1,0,6
M,17,2,1,0,4
M,22,1,1,3,16
M,18,1,2,1,8
M,16,1,1,0,0
M,18,2,1,1,0
M,16,3,2,0,6
M,18,1,1,1,4
M,16,2,1,0,0
M,17,1,1,0,0
M,17,2,1,1,2
F,17,1,4,0,6
M,19,1,2,0,12
M,18,1,2,0,8
F,17,1,4,0,0
F,18,1,2,0,21
M,18,1,2,0,2
M,18,1,3,0,1
F,17,1,3,0,4
F,18,1,3,0,0
M,18,2,2,0,13
M,17,1,2,0,2
F,18,2,2,0,8
M,18,1,2,0,10
F,18,2,2,0,0
F,19,1,2,2,15
F,18,1,4,0,4
F,18,2,2,0,2
M,17,1,2,0,2
F,17,2,2,0,2
F,17,2,2,0,6
F,18,2,2,0,75
M,18,2,1,0,22
F,18,1,2,1,15
M,18,2,1,0,8
M,17,2,1,0,30
M,17,1,1,1,19
F,18,2,4,0,1
F,18,2,2,0,4
F,17,1,2,0,4
M,17,1,2,0,2
F,18,1,3,0,5
F,17,1,3,0,6
M,18,1,3,0,6
M,18,1,2,0,9
M,18,1,2,0,11
F,17,1,3,0,0
F,18,1,2,1,12
F,17,2,4,0,6
M,18,2,3,0,8
M,17,1,1,0,4
F,19,2,2,0,0
F,18,2,2,0,10
F,18,1,4,0,0
M,18,1,1,0,5
F,18,1,2,0,14
M,17,2,1,0,0
F,17,2,3,0,0
F,17,1,4,0,0
M,19,1,2,1,20
F,18,1,2,1,8
M,20,1,1,0,0
M,19,2,1,1,38
M,19,1,2,1,0
F,19,1,2,1,18
F,19,1,2,1,0
F,19,3,2,0,20
M,19,1,2,1,3
F,19,2,2,1,22
F,19,1,3,2,14
F,19,1,3,1,40
F,18,2,2,0,0
F,18,1,3,0,9
F,17,1,3,0,0
F,18,1,2,0,2
F,17,1,2,0,23
F,17,1,2,0,12
F,17,1,3,0,3
F,17,1,3,0,1
F,17,2,3,0,0
M,18,1,3,0,3
M,17,1,1,0,3
M,17,4,1,0,8
F,17,1,3,0,7
F,17,2,3,0,4
M,18,1,4,0,2
F,17,1,3,0,7
F,18,1,2,0,0
F,18,1,2,0,0
F,18,2,4,0,0
F,17,1,3,0,16
F,19,1,3,1,12
F,17,1,2,0,0
F,18,1,4,0,7
F,17,1,2,0,4
F,19,1,3,1,4
M,18,1,2,1,0
M,18,1,2,0,11
F,17,1,2,1,0
F,18,1,3,0,4
F,18,1,3,0,7
M,18,1,3,0,9
M,18,1,3,0,0
F,17,1,3,0,0
M,18,2,1,1,10
M,19,3,2,3,8
M,17,2,2,0,2
M,18,1,1,1,7
M,19,3,1,1,4
M,17,2,2,0,4
F,18,1,2,0,0
F,17,2,2,0,4
F,17,2,2,0,2
M,18,2,1,0,4
F,18,2,3,0,0
F,18,3,2,0,0
M,18,2,2,1,2
F,18,2,2,0,0
F,17,1,2,0,0
F,17,2,2,0,0
M,18,2,2,0,4
M,18,2,3,0,0
F,17,3,1,1,0
F,18,2,1,0,0
F,18,3,2,0,10
F,19,2,2,2,4
M,18,3,1,0,3
F,17,1,3,0,8
F,17,1,1,0,14
F,18,2,3,0,0
F,18,4,3,0,2
F,20,2,3,2,4
F,18,1,2,0,4
F,18,1,2,0,0
F,17,1,2,0,17
M,18,1,2,0,4
M,18,2,1,0,5
M,17,2,2,0,2
M,19,2,1,1,0
M,18,2,1,1,14
F,18,2,3,0,2
F,18,3,1,0,7
F,19,1,3,1,0
F,18,1,2,0,0
F,18,2,2,1,0
M,20,1,2,2,11
M,17,2,1,0,3
M,21,1,1,3,3
M,18,3,1,0,0
M,19,1,1,0,5
