sex,age,studytime,weekday alc,weekend alc,absences,Final Grade
F,18,2,1,1,6,6
F,17,2,1,1,4,6
F,15,2,2,3,10,10
F,15,3,1,1,2,15
F,16,2,1,2,4,10
M,16,2,1,2,10,15
M,16,2,1,1,0,11
F,17,2,1,1,6,6
M,15,2,1,1,0,19
M,15,2,1,1,0,15
F,15,2,1,2,0,9
F,15,3,1,1,4,12
M,15,1,1,3,2,14
M,15,2,1,2,2,11
M,15,3,1,1,0,16
F,16,1,1,2,4,14
F,16,3,1,2,6,14
F,16,2,1,1,4,10
M,17,1,2,4,16,5
M,16,1,1,3,4,10
M,15,2,1,1,0,15
M,15,1,1,1,0,15
M,16,2,1,3,2,16
M,16,2,2,4,0,12
F,15,3,1,1,2,8
F,16,1,1,3,14,8
M,15,1,1,2,2,11
M,15,1,2,4,4,15
M,16,2,1,1,4,11
M,16,2,5,5,16,11
M,15,2,3,4,0,12
M,15,2,1,1,0,17
M,15,2,1,1,0,16
M,15,2,1,1,0,12
M,16,1,1,1,0,15
F,15,1,1,1,0,6
M,15,3,1,1,2,18
M,16,3,1,1,7,15
F,15,3,1,1,2,11
F,15,1,1,1,8,13
F,16,2,1,2,25,11
M,15,1,2,4,8,12
M,15,2,1,1,2,18
M,15,1,1,1,0,11
F,16,2,2,2,14,9
F,15,2,1,1,8,6
F,16,2,1,4,12,11
M,16,4,1,1,4,20
M,15,2,2,2,2,14
F,15,2,1,1,2,7
F,16,2,2,3,2,13
F,15,2,1,1,2,13
M,15,1,3,4,6,10
F,15,1,2,3,0,11
F,15,1,4,4,6,13
F,16,2,1,1,8,10
F,15,2,1,1,0,15
M,15,2,1,1,4,15
M,15,2,1,1,2,9
F,16,2,1,1,2,16
F,16,2,2,3,6,11
F,16,1,5,5,6,11
F,16,2,1,1,4,9
F,16,3,2,4,2,9
F,15,2,2,4,0,10
F,16,2,1,2,2,15
M,15,4,5,5,4,12
F,16,4,1,2,4,6
F,15,2,1,3,2,8
F,15,4,2,3,12,16
M,16,4,1,1,0,15
M,15,4,1,1,0,10
F,15,2,2,4,2,5
M,16,1,2,2,2,14
F,16,2,2,4,54,11
M,15,2,2,3,6,10
M,15,4,1,1,8,10
F,16,4,1,3,0,11
M,17,1,1,1,2,10
F,16,2,1,2,12,5
M,15,1,1,3,2,12
M,15,3,1,2,4,11
F,15,2,1,1,10,6
M,15,2,1,3,4,15
F,15,2,2,3,2,10
F,15,2,2,3,6,8
F,16,2,1,2,4,6
F,15,3,1,3,4,14
M,16,2,1,1,12,10
M,16,2,3,5,18,7
F,16,3,1,3,0,8
F,15,1,1,3,4,18
F,16,2,2,3,4,6
F,16,2,1,1,0,10
M,15,4,1,1,6,14
F,15,4,1,1,2,10
M,16,1,1,1,2,15
F,16,2,1,1,2,10
F,16,1,1,2,6,14
F,16,3,1,1,0,8
M,16,1,5,5,14,5
M,16,3,1,1,0,17
M,15,1,1,1,4,14
F,15,2,1,1,26,6
M,15,2,1,1,0,18
F,15,4,1,1,10,11
F,15,4,1,1,8,8
M,16,3,1,1,2,18
M,15,4,3,5,6,13
F,16,3,1,1,4,16
M,15,1,1,1,6,19
F,16,3,1,1,0,10
F,16,2,1,1,6,13
M,15,1,1,1,10,19
M,15,2,1,1,8,9
M,16,2,1,2,2,16
M,15,2,1,1,2,14
M,16,1,1,1,0,13
M,17,2,1,4,20,8
M,15,1,1,2,6,13
F,15,2,1,2,2,15
M,15,4,1,2,6,15
F,16,2,1,2,2,13
M,16,1,1,4,18,13
F,16,2,1,1,0,8
M,15,1,3,2,0,12
F,15,2,1,1,0,11
F,19,2,1,1,2,9
M,18,1,1,2,0,0
M,16,1,2,5,8,18
F,15,3,2,2,0,0
F,15,1,1,2,0,0
F,17,1,1,3,12,12
F,16,1,1,4,16,11
M,15,2,1,1,0,0
F,15,3,1,1,0,0
M,17,2,2,4,0,0
F,16,1,1,1,0,0
M,16,2,1,3,0,12
F,15,1,1,1,0,15
M,15,4,1,1,0,0
M,16,1,2,2,8,9
F,15,3,1,1,2,11
F,16,1,3,3,2,13
M,17,1,1,2,0,0
F,15,2,1,2,0,11
F,15,2,1,1,0,0
F,15,2,1,1,2,11
M,16,1,2,1,0,0
M,15,1,2,5,0,10
